Ramal_Technico
z,Su
m,kPa
4.34285714286,72.9241877256
4.57142857143,52.3465703971
5.48571428571,51.2635379061
5.82857142857,43.321299639
5.94285714286,36.8231046931
4.57142857143,37.5451263538
8.91428571429,32.4909747292
10.0571428571,22.3826714801
11.7714285714,22.3826714801
12.5714285714,32.1299638989
13.1428571429,21.2996389892
13.7142857143,18.7725631769
13.2571428571,7.58122743682
14.5142857143,5.41516245487
15.6571428571,14.440433213
12.6857142857,52.7075812274
17.7142857143,22.3826714801
16.5714285714,18.7725631769
17.9428571429,18.0505415162
17.8285714286,13.7184115523
20.3428571429,15.523465704
21.4857142857,15.523465704
22.4,25.9927797834
24.2285714286,19.4945848375
25.4857142857,16.6064981949
27.2,18.4115523466
28.1142857143,9.38628158845
29.7142857143,22.0216606498
32.2285714286,41.155234657
35.7714285714,45.4873646209
36.8,21.2996389892
37.1428571429,28.5198555957
37.1428571429,42.238267148
38.8571428571,27.797833935
39.0857142857,41.5162454874
36.2285714286,81.9494584838
41.2571428571,72.5631768953
45.1428571429,74.3682310469
45.9428571429,50.5415162455
45.8285714286,33.2129963899
45.8285714286,13.357400722
49.7142857143,23.8267148014
48.8,28.5198555957
48.3428571429,36.4620938628
47.5428571429,40.0722021661
49.4857142857,50.5415162455
49.3714285714,58.1227436823
50.6285714286,61.0108303249
