Tramo_1.3
z,Su
m,kPa
2.70773638968,78.961038961
4.89971346705,76.8831168831
8.38108882521,74.2857142857
11.0888252149,73.7662337662
14.8280802292,71.6883116883
18.4383954155,69.0909090909
22.435530086,68.5714285714
25.5300859599,67.012987013
26.9484240688,61.2987012987
28.4957020057,63.3766233766
30.0429799427,56.6233766234
31.4613180516,56.6233766234
32.7507163324,63.3766233766
33.3954154728,95.0649350649
34.0401146132,51.4285714286
35.9742120344,46.7532467532
38.4240687679,41.5584415584
39.9713467049,31.1688311688
40.7449856734,16.1038961039
42.2922636103,37.4025974026
42.9369627507,14.5454545455
