Tramo_3.2.3
z,Su
m,kPa
3.24561403509,52.8169014085
3.50877192982,43.661971831
3.68421052632,32.7464788732
3.85964912281,26.4084507042
4.91228070175,30.2816901408
6.31578947368,31.6901408451
5.17543859649,91.1971830986
7.10526315789,44.3661971831
8.24561403509,44.014084507
8.33333333333,37.323943662
9.38596491228,54.5774647887
10.1754385965,65.1408450704
10.701754386,77.1126760563
10.9649122807,66.9014084507
11.4035087719,60.5633802817
11.9298245614,54.2253521127
12.8947368421,50.3521126761
13.9473684211,64.4366197183
13.9473684211,80.2816901408
14.0350877193,91.1971830986
14.3859649123,88.3802816901
14.4736842105,84.8591549296
15.0,91.9014084507
15.0,100.704225352
15.0,110.563380282
15.0877192982,93.661971831
15.0877192982,84.8591549296
15.350877193,75.7042253521
15.4385964912,71.4788732394
16.1403508772,78.5211267606
16.2280701754,70.0704225352
16.2280701754,89.7887323944
16.4912280702,100.704225352
16.6666666667,113.38028169
16.9298245614,126.76056338
17.1052631579,135.211267606
17.1929824561,119.718309859
17.3684210526,107.042253521
17.5438596491,92.9577464789
17.8947368421,80.6338028169
17.8947368421,72.1830985915
17.9824561404,64.7887323944
17.9824561404,56.338028169
18.0701754386,53.1690140845
